AIDS,PIB,Usuários Internet,Crescimento Populacional,Desemprego,Investimentos Educação,Analfabetismo 15 e 24,Analfabetismo 25 e 64,Qtd Professores EF,Crianças Fora Escola,Qtd Alunos por professor,Qtd Alunos EF
0.0,17.59,30.54,3.38,20.2,3.03,37354.0,110383.96,12961.0,0.56,24.53,99.44
0.0,18.18,38.07,3.17,20.1,2.67,37354.0,110383.96,12961.0,0.56,24.53,99.44
0.0,14.26,45.78,2.86,20.0,2.67,37354.0,110383.96,12961.0,0.56,24.53,99.44
0.0,32.17,7.8,2.51,4.2,5.54,698588.0,2839103.98,121304.0,0.56,24.53,99.44
0.0,39.57,9.0,2.46,4.0,8.14,698588.0,2839103.98,124359.0,16.15,31.04,83.85
0.0,41.94,10.6,2.4,4.1,7.92,698588.0,2839103.98,123153.0,17.81,32.98,82.19
0.0,47.81,15.0,2.35,5.2,6.1,698588.0,2839103.98,129599.0,13.17,31.68,86.83
0.0,38.62,25.52,2.31,5.1,6.18,698588.0,2839103.98,136878.0,10.69,30.08,89.31
0.0,37.54,31.45,2.27,5.1,6.18,698588.0,2839103.98,138928.0,9.11,31.26,90.89
0.0,41.34,10.5,2.17,3.7,2.8,698588.0,2839103.98,98763.0,1.31,26.87,98.69
0.0,47.65,12.3,2.15,4.1,2.92,698588.0,2839103.98,100600.0,3.35,26.29,96.65
0.0,50.39,16.0,2.13,2.9,2.96,198959.0,1403694.69,100081.0,6.25,25.54,93.75
0.0,53.85,19.7,2.11,3.0,2.84,259517.0,1570746.93,105618.0,8.76,23.66,91.24
0.0,58.72,23.4,2.08,2.9,2.94,186110.0,1281939.38,105188.0,11.04,22.98,88.96
0.0,63.77,28.81,2.04,2.4,2.96,186110.0,1281939.38,116719.0,11.95,20.41,88.05
0.0,6.86,1.0,2.23,6.3,3.69,1523693.0,2825855.14,34451.0,29.45,42.19,70.55
0.0,6.79,2.0,2.21,6.3,3.07,1523693.0,2825855.14,34861.0,25.61,44.08,74.39
0.0,7.39,3.1,2.21,6.3,2.47,1523693.0,2825855.14,36731.0,26.27,43.56,73.73
1.0,8.38,4.5,2.24,6.4,3.54,1523693.0,2825855.14,37687.0,25.41,44.21,74.59
1.0,8.79,6.4,2.3,6.4,3.21,1285028.0,3094111.69,37938.0,21.98,45.59,78.02
0.0,8.77,8.2,2.39,6.3,3.21,1285028.0,3094111.69,37938.0,21.98,45.59,78.02
0.0,0.85,2.45,2.5,6.2,1.87,1285028.0,3094111.69,5371.0,30.77,51.93,69.23
0.0,1.1,2.67,2.56,6.2,1.84,1285028.0,3094111.69,5371.0,30.77,51.93,69.23
0.0,0.99,2.89,2.6,6.1,1.99,1285028.0,3094111.69,5371.0,30.77,51.93,69.23
0.0,1.05,3.1,2.61,6.1,2.17,1285028.0,3094111.69,5371.0,30.77,51.93,69.23
0.0,1.06,3.32,2.6,6.0,2.17,141572.0,383931.47,5371.0,30.77,51.93,69.23
0.0,1.04,3.54,2.56,6.1,2.17,141572.0,383931.47,5371.0,30.77,51.93,69.23
0.0,2.27,29.9,0.12,10.8,3.66,141572.0,383931.47,4031.0,15.33,24.62,84.67
0.0,2.58,30.0,0.34,10.8,3.59,141572.0,383931.47,4012.0,14.02,24.59,85.98
0.0,2.86,30.5,0.53,11.0,3.19,141572.0,383931.47,4079.0,14.97,23.16,85.03
